,,,,,,,,,,,,Distribution ,,,,
CRAM IDS,Mountain,Site ID,Stream Name,Last CRAM Visit,Last Fire,Proximity to Fire ,Fire Name,Fire QA,CRAM QA,Buddy?,,FIRE,,,CRAM,
"8770, 1160, 3337, 3774, 3754, 1175",LA,LA1,,"2009, 2013, 2014, 2015, 2016, 2022","2016, 2009",,,medium,ok,LA7? Control shared with LA20,,Control,14,,Ok,17
"835, 970, 4372, 8387, 7800, 1600, 2353, 4375, 3066",LA,LA3,,"2008, 2009, 2010, 2011, 2012, 2013, 2015, 2020, 2021","2022 far, 2012, control?",,,new,ok,LA15,,New,11,,Good,17
"762, 998, 3667, 8392, 8965, 1595, 3018, 5434",LA,LA4,,"2007, 2009, 2010, 2013, 2014, 2016, 2021, 2022","2022, 2020, 2014",,,new,good,LA14,,Medium,5,,,
1716,LA,LA7,,2011,,,,control,good,LA1 or LA20,,Old,4,,,
7811,LA,LA9,,2020,,,,control,good,LA12,,,,,,
6773,LA,LA10,,2018,2011,,,control,good,LA11,,,,,,
"1224, 1597, 1866, 3019, 4369",LA,LA11,,"2019, 2015, 2013, 2009","2020, 2016, 2014",,,new,ok,LA10,,,,,,
"6910, 7500, 1871",LA,LA12,,"2019, 2011","2020, 2015, 2014",,,new,ok,LA9,,,,,,
6772,LA,LA13,,2018,,,,control,good,LA18? Better pair may exist,,,,,,
"3672, 6172, 995",LA,LA14,,"2009, 2014, 2017",,,,control,good,LA4,,,,,,
"6171, 6713, 7810, 8381, 8951, 1883, 7110",LA,LA15,,"2022, 2021, 2020, 2019, 2018, 2017, 2011",,,,control,good,LA3,,,,,,
"5498, 6700, 6701, 6694, 7707, 3661, 7706, 4457, 8939, 1215, 1581, 1886, 2368, 3681, 4465, 5446, 8944, 8678, 1567, 1564, 8370, 1897, 1898, 2375, 3011",LA,LA16,,"2009 to 2022, extensive","none, multiple controls maybe",,,control,good,LA17,,,,,,
"1221, 1583, 2366, 4466",LA,LA17,,"2009, 2010, 2012, 2015",2017,,,medium,ok,LA16,,,,,,
5497,LA,LA18,,2016,"far 2017, 2020",,,new,ok,LA13? Better pair may exist,,,,,,
"1560, 3676, 5432, 6170, 8391, 8963, 1559, 1873, 2348, 3075, 3673, 1872, 2355, 3020",LA,LA19,,"2010, 2011, 2012, 2013, 2014, 2016, 2021, 2022",2020,,,new,good,"LA16 is best comparison, already used by LA17 though. Maybe find another CRAM control site closer",,,,,,
"1160, 3774, 8770",LA,LA20,,"2009, 2014, 2022",2016,,,not recent,good,LA7? Control shared with LA1,,,,,,
7931,SB,SB1,East Wide Canyon AA2,9/23/2020,,,,control,ok,,,,,,,
7932,SB,SB2,West Deception Canyon,9/23/2020,,,,control,ok,,,,,,,
7929,SB,SB3,Long Canyon,9/21/2020,2022,Downstream,Elk Trail,new,ok,SB4,,,,,,
7930,SB,SB4,East Wide Canyon AA1,9/21/2020,,,,control,ok,,,,,,,
7933,SB,SB8,Little Morongo Canyon,9/23/2020,2006,Downstream,Sawtooth,old,ok,SB2,,,,,,
7928,SB,SB9,West Blind Canyon,9/21/2020,,,,control,ok,,,,,,,
7927,SB,SB10,Whitehouse Canyon,9/20/2020,,,,control,ok,,,,,,,
7926,SB,SB11,Big Morongo Wash,9/20/2020,,,Matz?,,ok,,,,,,,
"3348, 4141, 4145, 5865, 8668, 1373",SB,SB12,,"2010, 2013, 2015, 2017, 2022","2015, 2018, 2020",,,new,ok,,,,,,,
"6779, 3325, 6386, 5490, 1715",SB,SB13,,"2011, 2013, 2016, 2018",2015,,,old,good,SB18,,,,,,
"5413, 6780, 7186, 8489, 2838",SB,SB15,,"2013, 2016, 2018, 2019, 2021","2015, 2020",,,new,good,SB16,,,,,,
"6783, 6785, 6786, 7182, 4142, 7181, 7177",SB,SB16,,"2015, 2018, 2019",,,,control,good,,,,,,,
"1750, 7188",SB,SB17,,"2011, 2019","2013, 2015, 2017",,,not recent,ok,,,,,,,
6787,SB,SB18,,2018,,,,control,ok,,,,,,,
7650,SA,SA1,Santiago Creek,5/17/2020,Dec 2020,Within,Bond,new,good,,,,,,,
6031,SA,SA2,Santa Margarita River,6/11/2020,2021,Within,Creek 5,new,good,,,,,,,
5361,SA,SA3,Mill Creek,5/23/2016,2018,Downstream,Euclid,medium,ok,,,,,,,
"7649, 7089, 6635, 5355, 5986, 3647",SA,SA4,Silverado Creek,5/17/2020,Sept 2014,Downstream,Silverado,old,good,,,,,,,
"3650, 6687, 5356, 6056, 4366, 7137, 7674, ",SA,SA5,Arroyo Trabuco,5/20/2020,2016,Downstream,Trabuco,medium,good ,,,,,,,
"8479, 2831, 2728",SA,SA6,Temescal Wash,4/25/2021,NA,NA,NA,control ,good,,,,,,,
"1713, 4272, 7045",SA,SA7,Escondido Creek,6/16/2019,2014,Downstream,Cocos,old,ok,,,,,,,
