wetlandtypecode,vyear,grouptypecode,ecramid,cramver,wetlandclass,wetlandsubclass,wetlandtypedisplay,wetlandtyperowid,userid,userid_updatedby,aaname,projectname,assessmentareaid,projectid,visitdate,createdate,lastupdate,practitioners,practitionerother,aacategorydesc,aacomment,legacygid,programcode,centroidlong,centroidlat,aasize_ha,county,ecoregion,aageomcomment,ispublic,isnottest,indexscore,buffer_landscape_cont,hydrology,physical_structure,biotic_structure,bankfulwidth,average_aa_width,length,upstreamlatitude,upstreamlongitude,downstreamlatitude,downstreamlongitude,datum,flowingwater_riverine,hydroregime_riverine,channelform_riverine,tidalstage_riverine,tidalstage_estuarine,mouthcondition,encompass_estuarine,wetlandorigindesc,managetypes,depressionaltypedesc,encompass_depressional,hydrostate_depressional,hydroregime_depressional,connectstreamfloodplain,definedoutlet,definedinlet,inletoutletsamelocation,distincttopobasin,vpcategorydesc,surfacewater,hydrodescription,peatsoils,encompass_slope,hydrostate_slope,hydroregime_slope
rnc,2005,,16,3.0,riverine,non-confined,riverine non-confined,5,127,,Redwood Creek,,,,2005/06/23,2005/06/23 00:00:00,2014/03/03 14:33:19.966,,,,,16,,-122.57925,37.86691,1.00167,Marin,bay/delta,,1,1,89,93.30,91.67,87.50,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,17,3.0,riverine,non-confined,riverine non-confined,5,127,,"Concord Naval Weapons Station, Mt. Diablo Creek",,,,2005/06/27,2005/06/27 00:00:00,2014/03/03 14:33:19.966,,,,,17,,-122.01322,38.01279,1.0007,Contra Costa,bay/delta,,1,1,63,70.40,66.67,75.00,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,18,3.0,riverine,non-confined,riverine non-confined,5,127,,"Mt Diablo State Park, Mitchell Creek",,,,2005/06/27,2005/06/27 00:00:00,2014/03/03 14:33:19.966,,,,,18,,-121.94886,37.91301,0.73556,Contra Costa,bay/delta,,1,1,92,100.00,100.00,87.50,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,19,3.0,riverine,confined,riverine confined,4,127,,San Mateo Creek-Arroyo Court,,,,2005/07/07,2005/07/07 00:00:00,2014/03/03 14:33:19.966,,,,,19,,-122.32826,37.56267,1.02248,San Mateo,bay/delta,,1,1,51,25.00,66.67,62.50,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,20,3.0,riverine,confined,riverine confined,4,127,,San Mateo Creek-Lawrence School,,,,2005/07/07,2005/07/07 00:00:00,2014/03/03 14:33:19.966,,,,,20,,-122.31814,37.56974,0.48438,San Mateo,bay/delta,,1,1,53,37.50,66.67,62.50,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,21,3.5,riverine,confined,riverine confined,4,127,,Washington Creek at 101,,,,2005/07/25,2005/07/25 00:00:00,2014/03/03 14:33:19.966,,,,,21,,-122.62533,38.25005,0.26258,Sonoma,bay/delta,,1,1,46,42.68,66.67,50.00,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,22,3.5,riverine,confined,riverine confined,4,127,,Lichau Creek at Social Fireman Park,,,,2005/07/25,2005/07/25 00:00:00,2014/03/03 14:33:19.966,,,,,22,,-122.66628,38.29541,0.24267,Sonoma,bay/delta,,1,1,61,52.37,75.00,62.50,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,23,3.55,riverine,non-confined,riverine non-confined,5,127,,San Antonio Creek,,,,2005/08/16,2005/08/16 00:00:00,2014/03/03 14:33:19.966,,,,,23,,-122.70343,38.19786,0.8769,Marin,bay/delta,,1,1,78,72.86,75.00,87.50,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,24,3.55,riverine,non-confined,riverine non-confined,5,127,,Adobe Creek at Petaluma Adobe State Park,,,,2005/08/16,2005/08/16 00:00:00,2014/03/03 14:33:19.966,,,,,24,,-122.58350,38.25523,0.61179,Sonoma,bay/delta,,1,1,73,57.90,100.00,75.00,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,25,3.55,riverine,non-confined,riverine non-confined,5,127,,Unnamed Creek-Old Canada Road,,,,2005/08/31,2005/08/31 00:00:00,2014/03/03 14:33:19.966,,,,,25,,-122.34115,37.48714,2.01214,San Mateo,bay/delta,,1,1,91,87.50,100.00,87.50,87.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,26,3.55,riverine,non-confined,riverine non-confined,5,127,,San Mateo Creek-Pilarcitos Road,,,,2005/08/31,2005/08/31 00:00:00,2014/03/03 14:33:19.966,,,,,26,,-122.42964,37.57503,0.55726,San Mateo,bay/delta,,1,1,90,100.00,100.00,75.00,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,27,3.55,riverine,non-confined,riverine non-confined,5,127,,Austin Creek East,,,,2005/08/18,2005/08/18 00:00:00,2014/03/03 14:33:19.966,,,,,31,,-123.07216,38.53686,0.47957,Sonoma,bay/delta,,1,1,94,100.00,100.00,100.00,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,28,3.55,riverine,confined,riverine confined,4,127,,Trout Creek,,,,2005/08/19,2005/08/19 00:00:00,2014/03/03 14:33:19.966,,,,,32,,-122.86170,39.53831,0.46849,Lake,klamath/north coast,,1,1,92,100.00,100.00,87.50,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,29,3.55,riverine,non-confined,riverine non-confined,5,127,,Navarro River,,,,2005/08/18,2005/08/18 00:00:00,2014/03/03 14:33:19.966,,,,,33,,-123.46478,39.07463,8.01285,Mendocino,klamath/north coast,,1,1,86,93.30,91.67,87.50,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
