StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 9:35:00 AM,-88,m,"SpecificConductivity, Total",uS/cm,986,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 9:35:00 AM,-88,m,pH,none,7.4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,Temperature,Deg C,15.9,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,pH,none,8.27,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"SpecificConductivity, Total",uS/cm,1173,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"SpecificConductivity, Total",uS/cm,1256,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,2/20/2013 12:00:00 AM,12/30/1899 9:35:00 AM,-88,m,Temperature,Deg C,10.7,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,Temperature,Deg C,14.1,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,9/5/2012 12:00:00 AM,12/30/1899 7:35:00 AM,-88,m,Temperature,Deg C,21.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,pH,none,8.19,33.398142,-117.26273,Surface,NA,NA
SMR-MLS-2,9/5/2012 12:00:00 AM,12/30/1899 7:35:00 AM,-88,m,"SpecificConductivity, Total",uS/cm,1153,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/11/2012 12:00:00 AM,12/30/1899 5:00:00 PM,-88,m,"SpecificConductivity, Total",uS/cm,1013,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/1/2013 12:00:00 AM,12/30/1899 8:00:00 AM,-88,m,"SpecificConductivity, Total",uS/cm,1057,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/11/2012 12:00:00 AM,12/30/1899 5:00:00 PM,-88,m,Temperature,Deg C,20.4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/1/2013 12:00:00 AM,12/30/1899 8:00:00 AM,-88,m,Temperature,Deg C,19.6,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/11/2012 12:00:00 AM,12/30/1899 5:00:00 PM,-88,m,pH,none,7.9,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/1/2013 12:00:00 AM,12/30/1899 8:00:00 AM,-88,m,pH,none,7.4,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/5/2012 12:00:00 AM,12/30/1899 7:35:00 AM,-88,m,pH,none,7.39,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/16/2012 12:00:00 AM,12/30/1899 8:45:00 AM,-88,m,"Fluvalinate, Total",ng/g dw,-0.5,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,5/2/2013 12:00:00 AM,12/30/1899 7:50:00 AM,-88,m,"Selenium, Total",ug/L,0.79,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 7:30:00 AM,-88,m,"Coliform, Fecal",MPN/100 mL,700,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Allethrin, Total",ug/L,-0.002,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Permethrin, cis-, Total",ug/L,-0.025,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Prallethrin, Total",ug/L,-0.002,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Antimony, Dissolved",ug/L,0.16,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Cadmium, Total",ug/L,0.063,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Lead, Total",ug/L,0.39,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Zinc, Dissolved",ug/L,2.3,33.398142,-117.26273,Not Applicable,NA,NA
